,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
1381,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Velvety and seductive, this provides a fine example of the variety's sultriness, a study in ripe black cherry, clove and cinnamon that's generous in tannin without going overboard. With a decant or couple swirls of the glass, expect the power to soften and the complexity to take on new vigor.",,,Darioush 2012 Merlot (Napa Valley),$50, California,91, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Darioush
1382,13.8%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,9/1/2015,"An attractive array of cedar, cinnamon, red cherry and black currant aromas and flavors fill this medium-bodied wine to the rim. The acidity, tannins and flavors are all well proportioned and balance each other out in a sophisticated way. The result is an elegant but firm wine that will be appetizing at the table now through 2020.",Thatcher Bay Vineyard,,Occasio 2011 Thatcher Bay Vineyard Merlot (Livermore Valley),$36, California,91, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Merlot,2011,Occasio
1383,14.4%,"Napa County-Sonoma County, Napa-Sonoma, California, US",750 ml,Red, US,9/1/2015,"Joined by 8% Cabernet Sauvignon, this stellar wine from an almost 50-50 Napa-Sonoma divide delivers big flavor and tannin and yet exudes vibrant juicy plum and blueberry, keeping it grounded and alive. Silky through and through, it's complex in dark chocolate and a touch of dried herbs.",,,Pride Mountain 2012 Merlot (Napa County-Sonoma County),$60, California,91, Napa-Sonoma,Virginie Boone,@vboone,Napa County-Sonoma County,Not rated yet [Add Your Review],Merlot,2012,Pride Mountain
1384,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Smooth and round, this is a well-structured wine, amply blessed in black cherry, plum and spicy cinnamon. Made in small quantities, it does the variety justice and is fully ready for the table.",Limited Release,,Black Stallion 2012 Limited Release Merlot (Napa Valley),$40, California,91, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Black Stallion
1385,14.2%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,9/1/2015,"Cracked pepper and blackberry combine for a very fresh and lively nose on this wine from a longtime producer. Chipped slate is the first impression once sipped, but an olallieberry flavor then steadily emerges, picking up some tongue-tingling pepper spice and a touch of vanilla on the finish.",Reserve,,Bargetto 2012 Reserve Merlot (Santa Cruz Mountains),$40, California,90, Central Coast,Matt Kettmann,@mattkettmann,Santa Cruz Mountains,Not rated yet [Add Your Review],Merlot,2012,Bargetto
1386,14.2%,"Moon Mountain District Sonoma County, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Named for the producer's French grandfather, who loved Merlot, this 100% varietal wine from a high-elevation site is leathery, meaty and quite debonair. With a scent of bacon grease giving a sense of rustic deliciousness, it's also soft and unctuous on the palate, medium to full bodied.",Pépé Cavedale Vineyard,,Y Rousseau 2012 Pépé Cavedale Vineyard Merlot (Moon Mountain District Sonoma County),$50, California,90, Sonoma,Virginie Boone,@vboone,Moon Mountain District Sonoma County,Not rated yet [Add Your Review],Merlot,2012,Y Rousseau
1387,14.7%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Soft and subdued in black fruit and leather, along with tufts of tobacco and clove, this wine contains an unexpected 4% Zinfandel, which may well add to both the brawniness of the oak and tannin and the juicy core of fruit that keeps it lifted on the palate. Drink now through 2020.",Behler Vineyard,,St. Francis 2012 Behler Vineyard Merlot (Sonoma Valley),$45, California,90, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Merlot,2012,St. Francis
1388,14.5%,"Rutherford, Napa, California, US",750 ml,Red, US,9/1/2015,"Licorice and black plum notes give this wine a sultry edge, layered around generous tannin and leathery tobacco. Soft toward the finish, it provides a polished note of red currant and raspberry midway through, lifting much of the weight off the tongue. Cellar through 2020.",Estate,,St. Supéry 2012 Estate Merlot (Rutherford),$50, California,90, Napa,Virginie Boone,@vboone,Rutherford,Not rated yet [Add Your Review],Merlot,2012,St. Supéry
1389,14.3%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Aromas of toast, espresso, chocolate and dark fruit lead to creamy-feeling fruit and barrel flavors. The oak (54% new French) is a bit out front but there's still much to enjoy.",Confidential Source,,Guardian 2012 Confidential Source Merlot (Columbia Valley (WA)),$30, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Guardian
1390,14.1%,"Oak Knoll District, Napa, California, US",750 ml,Red, US,9/1/2015,"Incorporating a small amount of Malbec, Cabernet Franc and Cabernet Sauvignon, this is a floral Merlot, with notes of violet counterpointed by barbecue smokiness and earth. Big, rich tannins are dry and robust, veering on full bodied, before the acidity in the wine pulls things back into balance.",,,Trefethen 2012 Merlot (Oak Knoll District),$40, California,90, Napa,Virginie Boone,@vboone,Oak Knoll District,Not rated yet [Add Your Review],Merlot,2012,Trefethen
1391,14.7%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Truly a Bordeaux-style blend of Merlot, Cabernet Franc and Malbec from Seven Hills (51%), Pepper Bridge (32%) and Octave vineyards, this wine offers aromas of wood, dark raspberry and licorice. The supple, reserved fruit flavors bring plenty of appeal. Give it time for the oak to fully integrate.",,,Pepper Bridge 2012 Merlot (Walla Walla Valley (WA)),$50, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Pepper Bridge
1392,14.4%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Milk chocolate, cherry and raspberry aromas lead to sweet, supple luscious fruit flavors. It keeps you coming back for more.",,,Novelty Hill 2012 Merlot (Columbia Valley (WA)),$23, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Novelty Hill
1393,14.8%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,9/1/2015,"This tastes deep, ripe and yet very smooth and drinkable for its full body and firmly tannic texture. Aromas recall cedar, dark plums, blueberry and black cherry plus a whiff of mint, while the flavors are grand, dark and rich. Enjoy it now through 2019.",Picazo Vineyard,,McGrail 2009 Picazo Vineyard Merlot (Livermore Valley),$36, California,90, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Merlot,2009,McGrail
1394,13%,"Mediterranée, France Other, France",750 ml,Rose, France,9/1/2015,"More mineral and savory than tutti-frutti, this wine offers scents of damp moss and wet stone. It's medium bodied, with a silky texture and a long, mouthwatering finish.",Les Grains Rosé de,USA Wine Imports,Marrenon 2014 Les Grains Rosé de Merlot (Mediterranée),$12, France Other,90,Mediterranée,Joe Czerwinski,,,Not rated yet [Add Your Review],Merlot,2014,Marrenon
1395,14.2%,"Horse Heaven Hills, Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"This wine is 100% varietal and comes from a single block and clone (clone 3). Aromas of woodspice, blue fruit and herbs lead to sweet, supple fruit flavors and grainy tannins. There are a lot of good things going on but the wood steps a bit in front of them.",Reserve Alder Ridge Vineyard,,Revelry 2012 Reserve Alder Ridge Vineyard Merlot (Horse Heaven Hills),$40, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Horse Heaven Hills,Not rated yet [Add Your Review],Merlot,2012,Revelry
1396,14.8%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Aromas of baking spices, clove, vanilla and dark fruit lead to a nuanced palate with fruit and barrel flavors and a light grip of tannins. The alcohol shows through a bit but overall it holds it.",Estate,,Golden Ridge 2012 Estate Merlot (Walla Walla Valley (WA)),$29, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Golden Ridge
1397,13.7%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"This 100% varietal wine comes from Mirage, Klipsun, Seven Hills and Force Majeure vineyards. The oak (50% new French) takes the lead with aromas of vanilla, coffee and cinnamon in front of plum and berry. Flavors are reserved, showing a mixture of fruit and barrel that continues through the finish.",,,Browne Family Vineyards 2012 Merlot (Columbia Valley (WA)),$35, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Browne Family Vineyards
1398,14.1%,"Washington, Washington Other, Washington, US",750 ml,Red, US,9/1/2015,"Aromas of sweet barrel spices, dried flowers, herbs and dark fruit lead to tart cherry flavors and a cranberry-filled finish.",Barrel Select Reserve,,3 Horse Ranch Vineyards 2011 Barrel Select Reserve Merlot (Washington),$21, Washington,89, Washington Other,Sean P. Sullivan,@wawinereport,Washington,Not rated yet [Add Your Review],Merlot,2011,3 Horse Ranch Vineyards
1399,14.2%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Made completely from Merlot, this wine comes from Candy Mountain (52%), Birch Creek (25%) and Bacchus vineyards. The oak (35% new American) plays a central role, with aromas of vanilla and green wood out in front of raspberries and cherries. Flavors are light yet concentrated, with the tannins showing some astringency.",,,Forgeron 2012 Merlot (Columbia Valley (WA)),$30, Washington,89, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Forgeron
1400,13.5%,"California, California Other, California, US",750 ml,Red, US,9/1/2015,"Sweet oak aromas, ripe fruit flavors and a firm texture make a complete and enjoyable package in this full-bodied wine. It has a toasted oak flavor, tasty plum and cinnamon nuances, good acidity and supportive tannins.",Eagle Peak,,Fetzer 2012 Eagle Peak Merlot (California),$10, California,88, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2012,Fetzer
1401,14.6%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Sourced from the winery's estate vineyard, this bottling presents a compelling depth of earthiness, a stony, rocky sense that gives it a savory edge. Tobacco and tea surround ample plum and blueberry. The wine is approachable and soft, with tiny percentages of Malbec, Cabernet Sauvignon and Petit Verdot.",,,Gundlach Bundschu 2012 Merlot (Sonoma Valley),$32, California,88, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Merlot,2012,Gundlach Bundschu
1402,14.2%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,9/1/2015,"Meaty, dusty aromas of leather, cigar box, old books, roasted lamb, tobacco smoke and purple flowers make for a compelling nose on this wine. The palate is quite leathery, with beef crust, wood smoke and incense ash flavors, delivered in a smooth manner.",,,Firestone 2011 Merlot (Santa Ynez Valley),$20, California,88, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Merlot,2011,Firestone
1403,13.8%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"The oak (21 months spent in French and American) takes the lead, with aromas of baking spices, green wood and vanilla out in front of cherry. The flavors are sweet, supported by grainy tannins that show some dryness.",Block 3 Reserve,,Gordon Estate 2012 Block 3 Reserve Merlot (Columbia Valley (WA)),$30, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Gordon Estate
1404,14.2%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"All varietal coming from Dwelley and Minnick Hills vineyards, this wine leads with aromas of black licorice, dates and green herbs. There's plenty of richness to the flavors, which are backed by a squeeze of grainy tannins.",Winemaker's Select,,Adamant Cellars 2012 Winemaker's Select Merlot (Walla Walla Valley (WA)),$42, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Adamant Cellars
1405,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Combining estate grapes with others from cooler Carneros, this wine offers a dried herb component and plenty of pencil and cedar. Tannic and oaky before airing, it'll benefit from a decant.",,,Keenan 2012 Merlot (Napa Valley),$39, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Keenan
1406,12.8%,"Carneros, Napa-Sonoma, California, US",750 ml,Red, US,9/1/2015,"On the one hand, this wine offers juicy, varietally characteristic layers of juicy plum and red cherry. Seamless tannins provide more pleasure, with a compelling end note of candied cherry and cranberry.",Otton Vineyards,,Ramspur 2012 Otton Vineyards Merlot (Carneros),$59, California,88, Napa-Sonoma,Virginie Boone,@vboone,Carneros,Not rated yet [Add Your Review],Merlot,2012,Ramspur
1407,14.4%,"Red Mountain, Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"All varietal from one of the state's most highly regarded vineyards, this wine offers aromas of dark raspberries, green herbs, vanilla and barrel spices. The fruit and barrel flavors show concentration and depth, with a light chalkiness to the tannins.",Klipsun Vineyard,,Januik 2012 Klipsun Vineyard Merlot (Red Mountain),$30, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Red Mountain,Not rated yet [Add Your Review],Merlot,2012,Januik
1408,15%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Pungent clove and cinnamon appear upon entry to this medium-bodied wine, which also offers smooth, rounded tannins and subtle oak. Plum, raspberry and tobacco all make an appearance, finished off by a healthy dose of black pepper.",,,Robert Mondavi 2012 Merlot (Napa Valley),$23, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Robert Mondavi
1409,13.7%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"An unusual aroma profile of sandalwood, broccoli and exotic spices leads to coffee and dark cherries. The fruit flavors are silky in feel, showing plenty of depth with lightly grainy tannins supporting them.",,,Reininger 2011 Merlot (Walla Walla Valley (WA)),$43, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2011,Reininger
1410,15.02%,"Red Mountain, Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"All varietal from up-and-coming Scooteney Flats Vineyard, this wine displays aromas of fresh herbs, dark raspberries and barrel spices. There's no lack of richness to the fruit flavors but the chalky tannins need time to stitch together.",,,Foundry Vineyards 2012 Merlot (Red Mountain),$34, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Red Mountain,Not rated yet [Add Your Review],Merlot,2012,Foundry Vineyards
1411,13.4%,"Washington, Washington Other, Washington, US",750 ml,Red, US,9/1/2015,"Medicine cabinet, licorice, leather and dried and fresh red and black fruit aromas lead to rich, concentrated flavors. The variety seems subsumed by the style but it's still pretty delicious.",,,Boudreaux Cellars 2009 Merlot (Washington),$50, Washington,88, Washington Other,Sean P. Sullivan,@wawinereport,Washington,Not rated yet [Add Your Review],Merlot,2009,Boudreaux Cellars
1412,14.7%,"San Francisco Bay, Central Coast, California, US",750 ml,Red, US,9/1/2015,"The fruit and herb flavors in this medium-bodied wine have good depth, conveying black cherries, raspberries and a light touch of thyme. It offers an appropriate savory element as well as a core of ripe grape flavors. Tasting solid but smooth, it is well made and unfussy.",Côté Vineyard,,Page Mill Winery 2012 Côté Vineyard Merlot (San Francisco Bay),$28, California,88, Central Coast,Jim Gordon,@gordone_cellars,San Francisco Bay,Not rated yet [Add Your Review],Merlot,2012,Page Mill Winery
1413,13.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Billed as a Cabernet lover's Merlot, this wine offers robustness as well as a soft, angular quality that provides a certain level of elegance. Oak, green olive and sage mark its bouquet, followed by flavors of red currant and dried herb.",Estate Grown,,Grgich Hills 2011 Estate Grown Merlot (Napa Valley),$42, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2011,Grgich Hills
1414,14.3%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Hailing from Les Collines and Seven Hills vineyards, this 100% varietal wine displays aromas and flavors of cedar, herbs, licorice and red fruit that seem a bit dried out. It's lighter in style, showing elegance along with a light squeeze of tannins.",,,Kontos 2011 Merlot (Walla Walla Valley (WA)),$34, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2011,Kontos
1415,14%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"A splash of Oakville Cabernet Sauvignon supports this juicy, smoky wine, from vineyards scattered across the wider Napa Valley appellation. Textured, it tastes of brambly, just-picked blackberry, with a robust body through to the finish, which ends lean.",,,Textbook 2013 Merlot (Napa Valley),$25, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2013,Textbook
1416,14.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,9/1/2015,"Red cherries, ripe strawberries and recently tanned leather aromas greet the nose on this wine. It's quite lively and spicy once sipped, with more strawberry fruit as well as a plum skin tartness and pencil lead tannins.",Di Domenico,,Le Vigne 2012 Di Domenico Merlot (Paso Robles),$33, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2012,Le Vigne
1417,14.6%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Bright and brooding, this lightly-textured, medium-bodied wine offers smoke, leather, blackberry and baked plum. There's an underlying richness akin to decadent crÃ¨me anglaise, with a finish of clove and coffee.",,,Swanson 2011 Merlot (Napa Valley),$38, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2011,Swanson
1418,13.5%,"Mendocino Ridge, Mendocino County, California, US",750 ml,Red, US,9/1/2015,"This well-balanced, medium-bodied wine blends ripe strawberry aromas and blackberry flavors with a lively texture that's bolstered by good acidity and firm tannins. It's easy to enjoy the fresh fruitiness.",Estate Bottled,,Greenwood Ridge 2012 Estate Bottled Merlot (Mendocino Ridge),$27, California,88, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino Ridge,Not rated yet [Add Your Review],Merlot,2012,Greenwood Ridge
1419,13.1%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Rose, US,9/1/2015,"Exuberantly floral, this perfumed, pale-pink wine offsets ripe peach and strawberry flavors with zesty, spine tingling acidity. Robust in body, it finishes briskly on a savory herb note.",Dry Rosé of,,Atwater 2014 Dry Rosé of Merlot (Finger Lakes),$25, New York,87, Finger Lakes,Anna Lee C. Iijima,,Finger Lakes,Not rated yet [Add Your Review],Merlot,2014,Atwater
1420,13.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Medium in build, with soft, approachable layers of texture and tannin, this wine is big on blackberry and black olive, blending the sweet and savory successfully. It builds tension as it goes, finishing with a taste of smoky leather.",,,Franciscan 2012 Merlot (Napa Valley),$21, California,87, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Franciscan
1421,14.3%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Rich in plum, black cherry and blackberry, this wine is subtle in cinnamon and dried herb, with additional embellishments of leather and earth. Soft and subdued, it's approachable and versatile.",Reserve,,Frei Brothers 2013 Reserve Merlot (Dry Creek Valley),$20, California,87, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Merlot,2013,Frei Brothers
1422,15.3%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Sanguine in black olive tapenade, this is a soft, smooth, 100% varietal wine that's full-bodied and expressive in black cherry and dark plum. It finishes in tight, chewy tannins.",Caton Vineyard Upper Bench,,Ty Caton 2012 Caton Vineyard Upper Bench Merlot (Sonoma Valley),$38, California,87, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Merlot,2012,Ty Caton
1423,14%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,9/1/2015,"Leather, dried cherries, plums, dark chocolate and sagebrush aromas are woven into a decent if not entirely lively nose. Lots of chopped fresh and dried herbs arise once sipped, along with gravel, black fruit and sticky tannins.",Estate,,Sculpterra 2012 Estate Merlot (Paso Robles),$32, California,87, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2012,Sculpterra
1424,14.9%,"Carneros, Napa-Sonoma, California, US",750 ml,Red, US,9/1/2015,"Softly layered in crisp red fruit, from currant to strawberry, this is a medium-bodied wine with a medium finish, seasoned in compelling jolts of cinnamon spice. From the relatively cool climes of its appellation, it's juicy without ever becoming overwhelming in tannin.",Mitsuko's Vineyard,,Clos Pegase 2012 Mitsuko's Vineyard Merlot (Carneros),$35, California,87, Napa-Sonoma,Virginie Boone,@vboone,Carneros,Not rated yet [Add Your Review],Merlot,2012,Clos Pegase
1425,13.9%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Aromas of woodspice, char, pickling spices and herbs are out in front of red and black fruit. The flavors are light and appealing, but ultimately the oak provides distraction.",Estate Grown,,Gordon Estate 2013 Estate Grown Merlot (Columbia Valley (WA)),$21, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2013,Gordon Estate
1426,13.9%,"Carneros, Napa-Sonoma, California, US",750 ml,Red, US,9/1/2015,"Cinnamon and clove adorn a medium-sized body that's soft and relatively silky, with ample plum and black cherry. More fruity than savory, the wine is enjoyable now, with a mid-length finish.",Carneros Estate,,Peter Cellars 2012 Carneros Estate Merlot (Carneros),$30, California,87, Napa-Sonoma,Virginie Boone,@vboone,Carneros,Not rated yet [Add Your Review],Merlot,2012,Peter Cellars
1427,14.5%,"Oakville, Napa, California, US",750 ml,Red, US,9/1/2015,"Cherry, raspberry and vanilla combine for an inviting mix of ripeness and sweet bouquet. A fruity component also sits nicely atop this structured wine marked by soft, fine tannins. The finish is robust in black pepper and clove.",Signature Series,,Kirkland Signature 2013 Signature Series Merlot (Oakville),$15, California,87, Napa,Virginie Boone,@vboone,Oakville,Not rated yet [Add Your Review],Merlot,2013,Kirkland Signature
1428,14.5%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,9/1/2015,"Red cherries, dark spices of clove and anise and gingerbread show on the nose of this wine from the Foley family portfolio. Darkness pervades the concentrated palate, with black fruits, dark chocolate, beef char and condensed purple flowers. It's so deep that it lacks noticeable flavor layers.",The Chairman Series,,Firestone 2011 The Chairman Series Merlot (Santa Ynez Valley),$40, California,87, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Merlot,2011,Firestone
1429,13.6%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"There's much to enjoy with this wine's aromas of vanilla, coffee, baking spices, raspberry and green wood. The sweet flavors show cranberry-like tartness and grainy tannins.",Reserve,,Waterbrook 2012 Reserve Merlot (Columbia Valley (WA)),$24, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2012,Waterbrook
1430,14.2%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Woodspice, herb and dark fruit aromas are out in front. The flavors show a lot of barrel influence, with the tannins providing some grit.",,,Tamarack Cellars 2013 Merlot (Columbia Valley (WA)),$28, Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2013,Tamarack Cellars
1431,14.8%,"Calistoga, Napa, California, US",750 ml,Red, US,9/1/2015,"A 100% varietal wine, this opens in floral violet perfume, delicate notions that are soon overpowered by the chock-a-block blackberry and plum. The tannins are robust and still integrating, giving the wine a somewhat harsh feel.",Unfiltered,,Barlow 2012 Unfiltered Merlot (Calistoga),$35, California,86, Napa,Virginie Boone,@vboone,Calistoga,Not rated yet [Add Your Review],Merlot,2012,Barlow
1432,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"Smoky barbecue and big oak and tannin combine for power and density in this wine, which has a handful of Malbec blended in. Hard to penetrate at first, it over time reveals notes of blackberry, savory leather and cedar.",,,Peju 2012 Merlot (Napa Valley),$35, California,86, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Peju
1433,16%,"Knights Valley, Sonoma, California, US",750 ml,Red, US,9/1/2015,"This is a gigantic expression of the variety, from high-elevation sites, an explosion of coffee, black licorice and red fruit. With a powerful backbone of bittersweet tannins and weight, the finish is reminiscent of cigar smoke.",,,Delectus 2012 Merlot (Knights Valley),$78, California,86, Sonoma,Virginie Boone,@vboone,Knights Valley,Not rated yet [Add Your Review],Merlot,2012,Delectus
1434,15.1%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"This 100% Merlot offers a lot of heat around its otherwise approachable lift of soft, smooth tannins and reasonable oak. Sage, cedar and tobacco provide a weedy aspect to the wine, offset by plenty of ripe blackberry and cherry.",,,Hanaiali'i 2013 Merlot (Napa Valley),$30, California,86, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2013,Hanaiali'i
1435,13.5%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,9/1/2015,"Smoky tar and plum highlight this approachable wine that's straightforward in focus and intent. Meant for enjoying now, it stays firm and flavorful in the glass, finishing without a fuss.",,,Decoy 2013 Merlot (Sonoma County),$25, California,86, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Merlot,2013,Decoy
1436,13.5%,"Monterey, Central Coast, California, US",3 L,Red, US,9/1/2015,"This is box wine taken seriously, even featuring a picture of winemaker Denise Wordenon. Fresh-squeezed blueberry fruit mixes with black rocks, milk chocolate and cedar on the nose, followed by an easy-to-quaff juiciness on the lightly bodied palate. It's not very complex, but perfect for summer barbecues or car camping.",,,Loft 2013 Merlot (Monterey),$30, California,86, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Merlot,2013,Loft
1437,13.5%,"California, California Other, California, US",750 ml,Red, US,9/1/2015,"Smooth and fruity, soft and rich, this medium-bodied wine will be easy to enjoy at a casual meal or big party. The aromas are like black cherries, the flavors like candied cherries and the texture relaxed.",,,60 North 2012 Merlot (California),$10, California,85, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2012,60 North
1438,15.2%,"Napa Valley, Napa, California, US",750 ml,Red, US,9/1/2015,"This bombastically brawny Merlot is blended with Syrah and Malbec. The grapes have been sourced from some fine vineyards, including Hudson, Stagecoach and Antica, as well as the cooler Trefethen in Oak Knoll. Juicy blackberry veers into syrupy territory, a thickness that never lets up, accented in smoky oak and vanilla.",,,Thorn 2012 Merlot (Napa Valley),$40, California,85, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Merlot,2012,Thorn
1439,14.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,9/1/2015,"Aromas of mocha, tire rubber, herbs and blue fruit aren't entirely in sync. They lead to a palate with soft, fleshy fruit flavors and a light structure trying to hold it all together.",,,Kirkland Signature 2013 Merlot (Columbia Valley (WA)),$9, Washington,85, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Merlot,2013,Kirkland Signature
