,Latitude,Longitude
"Kumeu, New Zealand",-36.7772623,174.5588019
"Waiheke Island, New Zealand",-36.8019237,175.1080146
"Eastern Bays, New Zealand",-36.860864,174.837268
"Strathbogie Ranges, Victoria, Australia",-36.9,145.75
"East Coast, New Zealand",-36.9844801,174.7809323
"Coonawarra, South Australia, Australia",-37.28746,140.8553875
"Central Victoria, Victoria, Australia",-37.4713077,144.7851531
"Victoria, Victoria, Australia",-37.4713077,144.7851531
"Yarra Valley, Victoria, Australia",-37.7450808,145.7133909
"Malleco, Chile",-38.1635613,-72.5204827
"Mornington Peninsula, Victoria, Australia",-38.2854053,145.093449
"Gisborne, New Zealand",-38.662334,178.017649
"Alto Valle del RÃ­o Negro, Other, Argentina",-38.93024,-67.9966861
"Hawke's Bay, New Zealand",-39.1089867,176.7416374
"North Island, New Zealand",-39.2378365,175.6023643
"RÃ­o Negro Valley, Other, Argentina",-40.8261434,-63.0266339
"New Zealand, New Zealand",-40.900557,174.885971
"Martinborough, New Zealand",-41.2190932,175.4600651
"Nelson, New Zealand",-41.2706319,173.2839653
"Tasmania, Tasmania, Australia",-41.4545196,145.9706647
"Wairau Valley, New Zealand",-41.565373,173.5286352
"Marlborough & Hawkes Bay, New Zealand",-41.57269,173.4216613
"Marlborough, New Zealand",-41.57269,173.4216613
"Patagonia, Other, Argentina",-41.8101472,-68.9062689
"Waipara Valley, New Zealand",-43.0424133,172.7901783
"Waipara, New Zealand",-43.0548342,172.7612505
"Canterbury, New Zealand",-43.7542275,171.1637245
"Central Otago, New Zealand",-44.9566315,169.3988451
"Pageon, Greece",38.2749,23.8103
"SÃ¼dsteiermark, Austria",47.3593,14.47
"CariÃ±ena, Northern Spain, Spain",43.047817,-2.621613
"Spain, Spain Other, Spain",40.4637,3.7492
"CalchaquÃ­ Valley, Other, Argentina",-26.0731,-65.9761
"Santa Barbara County, Central Coast, California, US",34.4208,-119.6882
"LontuÃ© Valley, Chile",-35.4,-71.16
"Argentina, Other, Argentina",-38.4161,-63.6167
"Coteaux Champenois, Champagne, France",48.9169,4.1514
"MediterranÃ©e, France Other, France",43.363931,3.523803
"Terasele Dunarii, Romania",45.9443,25.0094
"MonthÃ©lie, Burgundy, France",47.0525,4.3837
"Thrace, Turkey",40.345999,26.525999
"Cuyo, Other, Argentina",-33.03391,-68.8799
"Thracian Lowlands, Bulgaria",42.146,26
"Vin de Pays des Portes de MÃ©diterranÃ©e, France Other, France",43.363931,3.523803
"Langhe, Piedmont, Italy",44.4899,7.9768
"Å tajerska, Slovenia",46.3111,15.5123
"Estremadura, Portugal",38.7223,9.1393
